DATE,VALUE
1951-12-01,1.96
1951-11-01,1.85
1951-10-01,1.81
1951-09-01,1.81
1951-08-01,1.85
1951-07-01,1.77
1951-06-01,1.74
1951-05-01,1.81
1951-04-01,1.86
1951-03-01,1.81
1951-02-01,1.86
1951-01-01,1.79
1950-12-01,1.71
1950-11-01,1.59
1950-10-01,1.53
1950-09-01,1.96
1950-08-01,1.93
1950-07-01,1.56
1950-06-01,1.72
1950-05-01,1.61
1950-04-01,1.49
1950-03-01,1.38
1950-02-01,1.33
1950-01-01,1.32
1949-12-01,1.38
1949-11-01,1.28
1949-10-01,1.28
1949-09-01,1.34
1949-08-01,1.36
1949-07-01,1.48
1949-06-01,1.41
1949-05-01,1.36
1949-04-01,1.42
1949-03-01,1.37
1949-02-01,1.27
1949-01-01,1.45
1948-12-01,1.47
1948-11-01,1.44
1948-10-01,1.6
1948-09-01,1.9
1948-08-01,2.05
1948-07-01,2.38
1948-06-01,2.46
1948-05-01,2.42
1948-04-01,2.36
1948-03-01,2.34
1948-02-01,2.36
1948-01-01,2.74
1947-12-01,2.63
1947-11-01,2.53
1947-10-01,2.53
1947-09-01,2.64
1947-08-01,2.58
1947-07-01,2.38
1947-06-01,2.1
1947-05-01,1.81
1947-04-01,1.75
1947-03-01,1.75
1947-02-01,1.49
1947-01-01,1.35
1946-12-01,1.38
1946-11-01,1.46
1946-10-01,1.8
1946-09-01,1.92
1946-08-01,1.97
1946-07-01,2.17
1946-06-01,1.85
1946-05-01,1.53
1946-04-01,1.24
1946-03-01,1.24
1946-02-01,1.21
1946-01-01,1.2
1945-12-01,1.18
1945-11-01,1.2
1945-10-01,1.16
1945-09-01,1.24
1945-08-01,1.25
1945-07-01,1.22
1945-06-01,1.18
1945-05-01,1.22
1945-04-01,1.22
1945-03-01,1.2
1945-02-01,1.18
1945-01-01,1.18
1944-12-01,1.15
1944-11-01,1.12
1944-10-01,1.17
1944-09-01,1.18
1944-08-01,1.18
1944-07-01,1.18
1944-06-01,1.18
1944-05-01,1.16
1944-04-01,1.18
1944-03-01,1.18
1944-02-01,1.17
1944-01-01,1.17
1943-12-01,1.17
1943-11-01,1.16
1943-10-01,1.16
1943-09-01,1.15
1943-08-01,1.15
1943-07-01,1.07
1943-06-01,1.15
1943-05-01,1.15
1943-04-01,1.13
1943-03-01,1.11
1943-02-01,1.06
1943-01-01,1.06
1942-12-01,1.0
1942-11-01,0.93
1942-10-01,0.88
1942-09-01,0.92
1942-08-01,0.94
1942-07-01,0.94
1942-06-01,0.92
1942-05-01,0.92
1942-04-01,0.91
1942-03-01,0.91
1942-02-01,0.9
1942-01-01,0.87
1941-12-01,0.78
1941-11-01,0.76
1941-10-01,0.73
1941-09-01,0.81
1941-08-01,0.8
1941-07-01,0.8
1941-06-01,0.78
1941-05-01,0.76
1941-04-01,0.72
1941-03-01,0.7
1941-02-01,0.65
1941-01-01,0.67
1940-12-01,0.62
1940-11-01,0.69
1940-10-01,0.69
1940-09-01,0.69
1940-08-01,0.7
1940-07-01,0.71
1940-06-01,0.71
1940-05-01,0.7
1940-04-01,0.67
1940-03-01,0.62
1940-02-01,0.62
1940-01-01,0.62
1939-12-01,0.6
1939-11-01,0.56
1939-10-01,0.55
1939-09-01,0.6
1939-08-01,0.51
1939-07-01,0.49
1939-06-01,0.54
1939-05-01,0.55
1939-04-01,0.52
1939-03-01,0.51
1939-02-01,0.51
1939-01-01,0.53
1938-12-01,0.52
1938-11-01,0.46
1938-10-01,0.46
1938-09-01,0.53
1938-08-01,0.54
1938-07-01,0.59
1938-06-01,0.57
1938-05-01,0.57
1938-04-01,0.6
1938-03-01,0.6
1938-02-01,0.59
1938-01-01,0.62
1937-12-01,0.59
1937-11-01,0.57
1937-10-01,0.78
1937-09-01,1.06
1937-08-01,1.08
1937-07-01,1.16
1937-06-01,1.22
1937-05-01,1.26
1937-04-01,1.37
1937-03-01,1.22
1937-02-01,1.13
1937-01-01,1.14
1936-12-01,1.11
1936-11-01,1.1
1936-10-01,1.13
1936-09-01,1.2
1936-08-01,1.22
1936-07-01,0.92
1936-06-01,0.7
1936-05-01,0.65
1936-04-01,0.66
1936-03-01,0.62
1936-02-01,0.63
1936-01-01,0.64
1935-12-01,0.61
1935-11-01,0.71
1935-10-01,0.77
1935-09-01,0.82
1935-08-01,0.82
1935-07-01,0.87
1935-06-01,0.87
1935-05-01,0.9
1935-04-01,0.92
1935-03-01,0.87
1935-02-01,0.92
1935-01-01,0.97
1934-12-01,1.0
1934-11-01,0.93
1934-10-01,0.81
1934-09-01,0.83
1934-08-01,0.77
1934-07-01,0.65
1934-06-01,0.62
1934-05-01,0.56
1934-04-01,0.48
1934-03-01,0.49
1934-02-01,0.5
1934-01-01,0.5
1933-12-01,0.47
1933-11-01,0.44
1933-10-01,0.41
1933-09-01,0.49
1933-08-01,0.52
1933-07-01,0.56
1933-06-01,0.48
1933-05-01,0.42
1933-04-01,0.35
1933-03-01,0.28
1933-02-01,0.24
1933-01-01,0.25
1932-12-01,0.24
1932-11-01,0.26
1932-10-01,0.26
1932-09-01,0.3
1932-08-01,0.32
1932-07-01,0.32
1932-06-01,0.3
1932-05-01,0.31
1932-04-01,0.33
1932-03-01,0.36
1932-02-01,0.37
1932-01-01,0.39
1931-12-01,0.39
1931-11-01,0.44
1931-10-01,0.4
1931-09-01,0.43
1931-08-01,0.52
1931-07-01,0.63
1931-06-01,0.59
1931-05-01,0.59
1931-04-01,0.59
1931-03-01,0.62
1931-02-01,0.65
1931-01-01,0.68
1930-12-01,0.75
1930-11-01,0.79
1930-10-01,0.85
1930-09-01,0.94
1930-08-01,0.97
1930-07-01,0.84
1930-06-01,0.8
1930-05-01,0.82
1930-04-01,0.84
1930-03-01,0.81
1930-02-01,0.87
1930-01-01,0.89
1929-12-01,0.92
1929-11-01,0.9
1929-10-01,0.96
1929-09-01,1.0
1929-08-01,1.01
1929-07-01,1.01
1929-06-01,0.9
1929-05-01,0.87
1929-04-01,0.93
1929-03-01,0.96
1929-02-01,0.98
1929-01-01,0.96
1928-12-01,0.86
1928-11-01,0.91
1928-10-01,0.99
1928-09-01,0.99
1928-08-01,1.01
1928-07-01,1.1
1928-06-01,1.04
1928-05-01,1.09
1928-04-01,1.07
1928-03-01,1.01
1928-02-01,0.97
1928-01-01,0.9
1927-12-01,0.88
1927-11-01,0.87
1927-10-01,0.9
1927-09-01,1.0
1927-08-01,1.09
1927-07-01,1.03
1927-06-01,1.0
1927-05-01,0.9
1927-04-01,0.73
1927-03-01,0.72
1927-02-01,0.77
1927-01-01,0.78
1926-12-01,0.74
1926-11-01,0.72
1926-10-01,0.78
1926-09-01,0.81
1926-08-01,0.82
1926-07-01,0.79
1926-06-01,0.72
1926-05-01,0.73
1926-04-01,0.74
1926-03-01,0.75
1926-02-01,0.78
1926-01-01,0.8
1925-12-01,0.81
1925-11-01,0.83
1925-10-01,0.82
1925-09-01,0.9
1925-08-01,1.02
1925-07-01,1.06
1925-06-01,1.1
1925-05-01,1.14
1925-04-01,1.08
1925-03-01,1.18
1925-02-01,1.25
1925-01-01,1.3
1924-12-01,1.24
1924-11-01,1.13
1924-10-01,1.1
1924-09-01,1.15
1924-08-01,1.18
1924-07-01,1.07
1924-06-01,0.89
1924-05-01,0.79
1924-04-01,0.8
1924-03-01,0.8
1924-02-01,0.81
1924-01-01,0.77
1923-12-01,0.78
1923-11-01,0.88
1923-10-01,1.03
1923-09-01,0.9
1923-08-01,0.88
1923-07-01,0.86
1923-06-01,0.84
1923-05-01,0.83
1923-04-01,0.8
1923-03-01,0.75
1923-02-01,0.74
1923-01-01,0.72
1922-12-01,0.74
1922-11-01,0.72
1922-10-01,0.69
1922-09-01,0.64
1922-08-01,0.62
1922-07-01,0.64
1922-06-01,0.62
1922-05-01,0.62
1922-04-01,0.6
1922-03-01,0.59
1922-02-01,0.57
1922-01-01,0.49
1921-12-01,0.49
1921-11-01,0.49
1921-10-01,0.46
1921-09-01,0.52
1921-08-01,0.57
1921-07-01,0.61
1921-06-01,0.62
1921-05-01,0.62
1921-04-01,0.58
1921-03-01,0.64
1921-02-01,0.66
1921-01-01,0.7
1920-12-01,0.78
1920-11-01,0.81
1920-10-01,0.96
1920-09-01,1.37
1920-08-01,1.54
1920-07-01,1.62
1920-06-01,1.89
1920-05-01,2.03
1920-04-01,1.73
1920-03-01,1.6
1920-02-01,1.44
1920-01-01,1.5
1919-12-01,1.51
1919-11-01,1.52
1919-10-01,1.45
1919-09-01,1.58
1919-08-01,1.96
1919-07-01,1.95
1919-06-01,1.78
1919-05-01,1.73
1919-04-01,1.64
1919-03-01,1.48
1919-02-01,1.3
1919-01-01,1.42
1918-12-01,1.45
1918-11-01,1.38
1918-10-01,1.4
1918-09-01,1.52
1918-08-01,1.7
1918-07-01,1.68
1918-06-01,1.58
1918-05-01,1.6
1918-04-01,1.68
1918-03-01,1.7
1918-02-01,1.75
1918-01-01,1.78
1917-12-01,1.75
1917-11-01,2.07
1917-10-01,2.02
1917-09-01,2.1
1917-08-01,2.02
1917-07-01,2.05
1917-06-01,1.67
1917-05-01,1.63
1917-04-01,1.42
1917-03-01,1.12
1917-02-01,1.0
1917-01-01,0.98
1916-12-01,0.92
1916-11-01,1.0
1916-10-01,1.0
1916-09-01,0.87
1916-08-01,0.85
1916-07-01,0.81
1916-06-01,0.74
1916-05-01,0.74
