Code,LHGOVBD
31.07.98,106.9018
03.08.98,107.3455
04.08.98,107.4707
05.08.98,107.4855
06.08.98,107.3599
07.08.98,107.6376
10.08.98,107.6306
11.08.98,107.8275
12.08.98,107.6599
13.08.98,107.4283
14.08.98,107.6251
17.08.98,107.5932
18.08.98,107.5148
19.08.98,107.5045
20.08.98,107.7231
21.08.98,108.038
24.08.98,108.0623
25.08.98,108.314
26.08.98,108.4335
27.08.98,108.7628
28.08.98,108.8766
31.08.98,109.1502
01.09.98,109.0819
02.09.98,108.8803
03.09.98,109.1373
04.09.98,109.2226
07.09.98,109.2226
08.09.98,109.0361
09.09.98,109.5691
10.09.98,110.4579
11.09.98,109.9839
14.09.98,109.8959
15.09.98,109.7498
16.09.98,109.896
17.09.98,110.1534
18.09.98,110.3998
21.09.98,110.3732
22.09.98,110.2219
23.09.98,110.4834
24.09.98,110.6305
25.09.98,110.6895
28.09.98,110.6077
29.09.98,110.7803
30.09.98,111.5074
01.10.98,112.3285
02.10.98,112.4124
05.10.98,113.153
06.10.98,112.7441
07.10.98,112.1583
08.10.98,111.0393
09.10.98,109.8579
12.10.98,109.8579
13.10.98,110.0009
14.10.98,110.7481
15.10.98,110.5587
16.10.98,111.4464
19.10.98,111.3149
20.10.98,110.8691
21.10.98,110.5479
22.10.98,110.3782
23.10.98,110.1101
26.10.98,110.3017
27.10.98,110.792
28.10.98,110.7725
29.10.98,110.9947
30.10.98,110.5045
02.11.98,109.9333
03.11.98,109.9959
04.11.98,109.2346
05.11.98,109.1705
06.11.98,108.5357
09.11.98,109.0538
10.11.98,109.2286
11.11.98,109.2286
12.11.98,109.4468
13.11.98,109.3237
16.11.98,109.2175
17.11.98,109.1474
18.11.98,109.2661
19.11.98,109.1615
20.11.98,109.292
23.11.98,109.111
24.11.98,109.1337
25.11.98,109.2549
26.11.98,109.2549
27.11.98,109.3262
30.11.98,109.8682
01.12.98,110.1945
02.12.98,110.5186
03.12.98,110.489
04.12.98,110.1113
07.12.98,109.8477
08.12.98,111.1665
09.12.98,111.4317
10.12.98,111.3987
11.12.98,111.024
14.12.98,111.188
15.12.98,110.8497
16.12.98,111.108
17.12.98,111.128
18.12.98,111.0485
21.12.98,110.6532
22.12.98,110.3044
23.12.98,109.7247
24.12.98,109.4816
25.12.98,109.4816
28.12.98,109.85
29.12.98,110.1391
30.12.98,110.382
31.12.98,110.3783
01.01.99,110.3783
04.01.99,110.3316
05.01.99,110.0384
06.01.99,110.2873
07.01.99,109.9533
08.01.99,109.4463
11.01.99,109.2379
12.01.99,109.5957
13.01.99,109.9778
14.01.99,110.5685
15.01.99,110.1213
18.01.99,110.1213
19.01.99,110.0085
20.01.99,109.8134
21.01.99,110.1414
22.01.99,110.4626
25.01.99,110.2801
26.01.99,110.1962
27.01.99,110.2265
28.01.99,110.3499
29.01.99,110.4954
01.02.99,110.0741
02.02.99,109.7316
03.02.99,109.5955
04.02.99,109.1789
05.02.99,108.9815
08.02.99,109.0141
09.02.99,109.1987
10.02.99,108.9569
11.02.99,108.7961
12.02.99,107.8818
15.02.99,107.8818
16.02.99,108.1196
17.02.99,108.3892
18.02.99,108.1097
19.02.99,107.9791
22.02.99,108.1909
23.02.99,107.8056
24.02.99,107.3126
25.02.99,106.7385
26.02.99,107.0017
01.03.99,106.4872
02.03.99,106.7048
03.03.99,106.4555
04.03.99,106.2718
05.03.99,106.6812
08.03.99,106.7797
09.03.99,107.2165
10.03.99,107.0904
11.03.99,107.072
12.03.99,107.3021
15.03.99,107.4811
16.03.99,107.6576
17.03.99,107.4688
18.03.99,107.5648
19.03.99,107.2394
22.03.99,107.019
23.03.99,107.0957
24.03.99,107.2599
25.03.99,106.9287
26.03.99,106.9257
29.03.99,106.6833
30.03.99,107.0663
31.03.99,106.8242
01.04.99,106.6715
02.04.99,106.6715
05.04.99,107.1856
06.04.99,107.5586
07.04.99,107.5299
08.04.99,108.0337
09.04.99,107.9115
12.04.99,107.8903
13.04.99,107.6439
14.04.99,107.5771
15.04.99,107.4105
16.04.99,107.1285
19.04.99,107.3566
20.04.99,107.4971
21.04.99,107.444
22.04.99,106.932
23.04.99,107.0016
26.04.99,107.1044
27.04.99,107.2378
28.04.99,107.0689
29.04.99,107.3691
30.04.99,106.4793
03.05.99,106.6048
04.05.99,106.347
05.05.99,106.4691
06.05.99,105.8653
07.05.99,105.7449
10.05.99,105.9925
11.05.99,105.6776
12.05.99,105.7394
13.05.99,106.2874
14.05.99,105.2097
17.05.99,105.1697
18.05.99,105.0831
19.05.99,105.4287
20.05.99,105.3041
21.05.99,105.5951
24.05.99,105.6097
25.05.99,105.6027
26.05.99,105.3228
27.05.99,104.9741
28.05.99,105.002
31.05.99,105.002
01.06.99,104.6344
02.06.99,104.6177
03.06.99,104.5947
04.06.99,104.5525
07.06.99,104.5382
08.06.99,104.3821
09.06.99,104.2499
10.06.99,103.9648
11.06.99,103.4463
14.06.99,103.691
15.06.99,103.6807
16.06.99,103.8299
17.06.99,104.6037
18.06.99,104.3411
21.06.99,104.0224
22.06.99,103.8351
23.06.99,103.4673
24.06.99,103.2238
25.06.99,103.2971
28.06.99,103.6457
29.06.99,103.8141
30.06.99,104.4281
01.07.99,104.2934
02.07.99,104.3859
05.07.99,104.3859
06.07.99,104.1706
07.07.99,104.0291
08.07.99,104.3777
09.07.99,104.3295
12.07.99,104.9026
13.07.99,104.9905
14.07.99,104.8009
15.07.99,104.8478
16.07.99,105.0114
19.07.99,105.0246
20.07.99,105.1227
21.07.99,105.0239
22.07.99,104.4915
23.07.99,104.2224
26.07.99,104.0969
27.07.99,104.2673
28.07.99,104.2586
29.07.99,103.8968
30.07.99,103.7204
02.08.99,103.7221
03.08.99,103.5565
04.08.99,103.6249
05.08.99,103.9154
06.08.99,103.165
09.08.99,102.723
10.08.99,102.6327
11.08.99,102.8008
12.08.99,102.6901
13.08.99,103.1494
16.08.99,103.1655
17.08.99,103.599
18.08.99,103.6776
19.08.99,103.5454
20.08.99,103.6359
23.08.99,103.5969
24.08.99,103.8728
25.08.99,104.4044
26.08.99,104.2754
